word,pinyin,english,level,language
爱,ài,to love,1,1
八,bā,eight,1,1
爸爸,bà ba,(informal) father,1,1
杯子,bēi zi,cup,1,1
北京,Běi jīng,Beijing,1,1
本,běn,roots or stems of plants,1,1
不客气,bù kè qi,you're welcome,1,1
不,bù,(negative prefix),1,1
菜,cài,dish (type of food),1,1
茶,chá,tea,1,1
吃,chī,to eat,1,1
出租车,chū zū chē,taxi,1,1
打电话,dǎ diàn huà,to make a telephone call,1,1
大,dà,big,1,1
的,de,of,1,1
点,diǎn,point,1,1
电脑,diàn nǎo,computer,1,1
电视,diàn shì,television,1,1
电影,diàn yǐng,movie,1,1
东西,dōng xi,thing,1,1
都,dōu,all,1,1
读,dú,to read,1,1
对不起,duì bu qǐ,unworthy,1,1
多,duō,many,1,1
多少,duō shao,how much,1,1
儿子,ér zi,son,1,1
二,èr,two,1,1
饭馆,fàn guǎn,restaurant,1,1
飞机,fēi jī,airplane,1,1
分钟,fēn zhōng,minute,1,1
高兴,gāo xìng,happy,1,1
个,gè,variant of 個|个[gè],1,1
工作,gōng zuò,to work,1,1
狗,gǒu,dog,1,1
汉语,Hàn yǔ,Chinese language,1,1
好,hǎo,good,1,1
喝,hē,to drink,1,1
和,hé,and,1,1
很,hěn,(adverb of degree),1,1
后面,hòu mian,rear,1,1
回,huí,to curve,1,1
会,huì,can,1,1
火车站,huǒ chē zhàn,train station,1,1
几,jǐ,how much,1,1
家,jiā,home,1,1
叫,jiào,to shout,1,1
今天,jīn tiān,today,1,1
九,jiǔ,nine,1,1
开,kāi,to open,1,1
看,kàn,to see,1,1
看见,kàn jiàn,to see,1,1
块,kuài,lump (of earth),1,1
来,lái,to come,1,1
老师,lǎo shī,teacher,1,1
了,le,(modal particle intensifying preceding clause),1,1
冷,lěng,cold,1,1
里,lǐ,li (Chinese mile),1,1
零,líng,zero,1,1
六,liù,six,1,1
妈妈,mā ma,mama,1,1
吗,ma,(question tag),1,1
买,mǎi,to buy,1,1
猫,māo,cat,1,1
没,méi,(negative prefix for verbs),1,1
没关系,méi guān xi,it doesn't matter,1,1
米饭,mǐ fàn,(cooked) rice,1,1
明天,míng tiān,tomorrow,1,1
名字,míng zi,name (of a person or thing),1,1
哪,nǎ,how,1,1
那,nà,that,1,1
呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?""",1,1
能,néng,to be able to,1,1
你,nǐ,you (informal,1,1
年,nián,year,1,1
女儿,nǚ ér,daughter,1,1
朋友,péng you,friend,1,1
漂亮,piào liang,pretty,1,1
苹果,píng guǒ,apple,1,1
七,qī,seven,1,1
钱,qián,coin,1,1
前面,qián miàn,ahead,1,1
请,qǐng,to ask,1,1
去,qù,to go,1,1
热,rè,to warm up,1,1
人,rén,man,1,1
认识,rèn shi,to know,1,1
日,rì,sun,1,1
三,sān,three,1,1
商店,shāng diàn,store,1,1
上,shàng,on top,1,1
上午,shàng wǔ,morning,1,1
少,shǎo,few,1,1
谁,shéi,who,1,1
什么,shén me,what?,1,1
十,shí,ten,1,1
时候,shí hou,time,1,1
是,shì,is,1,1
书,shū,book,1,1
水,shuǐ,water,1,1
水果,shuǐ guǒ,fruit,1,1
睡觉,shuì jiào,to go to bed,1,1
说话,shuō huà,to speak,1,1
四,sì,four,1,1
岁,suì,classifier for years (of age),1,1
他,tā,he or him,1,1
她,tā,she,1,1
太,tài,highest,1,1
天气,tiān qì,weather,1,1
听,tīng,to listen,1,1
同学,tóng xué,to study at the same school,1,1
喂,wèi,to feed,1,1
我,wǒ,I,1,1
我们,wǒ men,we,1,1
五,wǔ,five,1,1
喜欢,xǐ huan,to like,1,1
下,xià,down,1,1
下午,xià wǔ,afternoon,1,1
下雨,xià yǔ,to rain,1,1
先生,xiān sheng,teacher,1,1
现在,xiàn zài,now,1,1
想,xiǎng,to think,1,1
小,xiǎo,small,1,1
小姐,xiǎo jie,young lady,1,1
些,xiē,some,1,1
写,xiě,to write,1,1
谢谢,xiè xie,to thank,1,1
星期,xīng qī,week,1,1
学生,xué sheng,student,1,1
学习,xué xí,to learn,1,1
学校,xué xiào,school,1,1
一,yī,one,1,1
衣服,yī fu,clothes,1,1
医生,yī shēng,doctor,1,1
医院,yī yuàn,hospital,1,1
椅子,yǐ zi,chair,1,1
有,yǒu,to have,1,1
月,yuè,moon,1,1
在,zài,(located) at,1,1
再见,zài jiàn,goodbye,1,1
怎么,zěn me,variant of 怎麼|怎么[zěn me],1,1
怎么样,zěn me yàng,how?,1,1
这,zhè,this,1,1
中国,Zhōng guó,China,1,1
中午,zhōng wǔ,noon,1,1
住,zhù,to live,1,1
桌子,zhuō zi,table,1,1
字,zì,letter,1,1
昨天,zuó tiān,yesterday,1,1
坐,zuò,to sit,1,1
做,zuò,to do,1,1