word,english,pinyin,level,language
阿姨,maternal aunt,ā yí,HSK3,1
啊,modal particle ending sentence,a,HSK3,1
矮,low,ǎi,HSK3,1
爱好,to like,ài hào,HSK3,1
安静,quiet,ān jìng,HSK3,1
把,to hold,bǎ,HSK3,1
搬,to move,bān,HSK3,1
班,team,bān,HSK3,1
半,half,bàn,HSK3,1
办法,means,bàn fǎ,HSK3,1
办公室,office,bàn gōng shì,HSK3,1
帮忙,to help,bāng máng,HSK3,1
包,to cover,bāo,HSK3,1
饱,to eat till full,bǎo,HSK3,1
北方,north,běi fāng,HSK3,1
被,quilt,bèi,HSK3,1
鼻子,nose,bí zi,HSK3,1
比较,to compare,bǐ jiào,HSK3,1
比赛,competition (sports etc),bǐ sài,HSK3,1
必须,to have to,bì xū,HSK3,1
变化,change,biàn huà,HSK3,1
表示,to express,biǎo shì,HSK3,1
表演,play,biǎo yǎn,HSK3,1
别人,other people,bié ren,HSK3,1
宾馆,guesthouse,bīn guǎn,HSK3,1
冰箱,icebox,bīng xiāng,HSK3,1
才,a moment ago,cái,HSK3,1
菜单,menu,cài dān,HSK3,1
参加,to participate,cān jiā,HSK3,1
草,grass,cǎo,HSK3,1
层,layer,céng,HSK3,1
差,to differ from,chà,HSK3,1
超市,supermarket (abbr.),chāo shì,HSK3,1
衬衫,shirt,chèn shān,HSK3,1
成绩,achievement,chéng jì,HSK3,1
城市,city,chéng shì,HSK3,1
迟到,to arrive late,chí dào,HSK3,1
出现,to appear,chū xiàn,HSK3,1
除了,besides,chú le,HSK3,1
厨房,kitchen,chú fáng,HSK3,1
春,spring (time),chūn,HSK3,1
词语,word (general term including monosyllables through to short phrases),cí yǔ,HSK3,1
聪明,acute (of sight and hearing),cōng ming,HSK3,1
打扫,to clean,dǎ sǎo,HSK3,1
打算,to plan,dǎ suàn,HSK3,1
带,band,dài,HSK3,1
担心,anxious,dān xīn,HSK3,1
蛋糕,cake,dàn gāo,HSK3,1
当然,only natural,dāng rán,HSK3,1
地,#NAME?,de,HSK3,1
灯,lamp,dēng,HSK3,1
低,low,dī,HSK3,1
地方,area,dì fang,HSK3,1
地铁,subway,dì tiě,HSK3,1
地图,map,dì tú,HSK3,1
电梯,elevator,diàn tī,HSK3,1
电子,electronic,diàn zǐ,HSK3,1
冬,sound of beating a drum,dōng,HSK3,1
东,east,dōng,HSK3,1
动物,animal,dòng wù,HSK3,1
短,short or brief,duǎn,HSK3,1
段,paragraph,duàn,HSK3,1
锻炼,to engage in physical exercise,duàn liàn,HSK3,1
多么,how (wonderful etc),duō me,HSK3,1
饿,to be hungry,è,HSK3,1
而且,(not only ...) but also,ér qiě,HSK3,1
耳朵,ear,ěr duo,HSK3,1
发烧,to have a high temperature (from illness),fā shāo,HSK3,1
发现,to find,fā xiàn,HSK3,1
方便,convenient,fāng biàn,HSK3,1
放,to release,fàng,HSK3,1
放心,to feel relieved,fàng xīn,HSK3,1
分,to divide,fēn,HSK3,1
附近,(in the) vicinity,fù jìn,HSK3,1
复习,variant of 復習|复习,fù xí,HSK3,1
干净,clean,gān jìng,HSK3,1
敢,to dare,gǎn,HSK3,1
感冒,to catch cold,gǎn mào,HSK3,1
刚才,(just) a moment ago,gāng cái,HSK3,1
根据,according to,gēn jù,HSK3,1
跟,heel,gēn,HSK3,1
更,more,gèng,HSK3,1
公园,public park,gōng yuán,HSK3,1
故事,narrative,gù shi,HSK3,1
刮,to blow (of the wind),guā,HSK3,1
关,mountain pass,guān,HSK3,1
关系,variant of 關係|关系[guān xì],guān xì,HSK3,1
关心,to care for sth,guān xīn,HSK3,1
关于,pertaining to,guān yú,HSK3,1
国家,country,guó jiā,HSK3,1
果汁,fruit juice,guǒ zhī,HSK3,1
过去,(in the) past,guò qu,HSK3,1
还是,or,hái shi,HSK3,1
害怕,to be afraid,hài pà,HSK3,1
河,river,hé,HSK3,1
黑板,blackboard,hēi bǎn,HSK3,1
护照,passport,hù zhào,HSK3,1
花,flower,huā,HSK3,1
花园,garden,huā yuán,HSK3,1
画,to draw,huà,HSK3,1
坏,bad,huài,HSK3,1
环境,environment,huán jìng,HSK3,1
换,to change,huàn,HSK3,1
黄,yellow,huáng,HSK3,1
会议,meeting,huì yì,HSK3,1
或者,or,huò zhě,HSK3,1
机会,opportunity,jī huì,HSK3,1
几乎,almost,jī hū,HSK3,1
极,extremely,jí,HSK3,1
记得,to remember,jì de,HSK3,1
季节,time,jì jié,HSK3,1
检查,inspection,jiǎn chá,HSK3,1
简单,simple,jiǎn dān,HSK3,1
见面,to meet,jiàn miàn,HSK3,1
健康,health,jiàn kāng,HSK3,1
讲,to speak,jiǎng,HSK3,1
教,to teach,jiāo,HSK3,1
脚,foot,jiǎo,HSK3,1
角,angle,jiǎo,HSK3,1
接,to receive,jiē,HSK3,1
街道,street,jiē dào,HSK3,1
节目,program,jié mù,HSK3,1
节日,holiday,jié rì,HSK3,1
结婚,to marry,jié hūn,HSK3,1
结束,termination,jié shù,HSK3,1
解决,to settle (a dispute),jiě jué,HSK3,1
借,to lend,jiè,HSK3,1
经常,day to day,jīng cháng,HSK3,1
经过,to pass,jīng guò,HSK3,1
经理,manager,jīng lǐ,HSK3,1
久,(long) time,jiǔ,HSK3,1
旧,old,jiù,HSK3,1
举行,to hold (a meeting,jǔ xíng,HSK3,1
句子,sentence,jù zi,HSK3,1
决定,to decide (to do something),jué dìng,HSK3,1
渴,thirsty,kě,HSK3,1
可爱,adorable,kě ài,HSK3,1
刻,quarter (hour),kè,HSK3,1
客人,visitor,kè rén,HSK3,1
空调,air conditioning,kōng tiáo,HSK3,1
口,mouth,kǒu,HSK3,1
哭,to cry,kū,HSK3,1
裤子,trousers,kù zi,HSK3,1
筷子,chopsticks,kuài zi,HSK3,1
蓝,blue,lán,HSK3,1
老,old,lǎo,HSK3,1
离开,to depart,lí kāi,HSK3,1
礼物,gift,lǐ wù,HSK3,1
历史,history,lì shǐ,HSK3,1
脸,face,liǎn,HSK3,1
练习,exercise,liàn xí,HSK3,1
辆,classifier for vehicles,liàng,HSK3,1
了解,to understand,liǎo jiě,HSK3,1
邻居,neighbor,lín jū,HSK3,1
楼,house with more than 1 story,lóu,HSK3,1
绿,green,lǜ,HSK3,1
马,horse,mǎ,HSK3,1
马上,at once,mǎ shàng,HSK3,1
满意,satisfied,mǎn yì,HSK3,1
帽子,hat,mào zi,HSK3,1
米,rice,mǐ,HSK3,1
面包,bread,miàn bāo,HSK3,1
面条,noodles,miàn tiáo,HSK3,1
明白,clear,míng bai,HSK3,1
拿,to hold,ná,HSK3,1
奶奶,(informal) grandma (paternal grandmother),nǎi nai,HSK3,1
南,south,nán,HSK3,1
难,difficult (to...),nán,HSK3,1
难过,to feel sad,nán guò,HSK3,1
年级,grade,nián jí,HSK3,1
年轻,young,nián qīng,HSK3,1
鸟,bird,niǎo,HSK3,1
努力,great effort,nǔ lì,HSK3,1
爬山,to climb a mountain,pá shān,HSK3,1
盘子,tray,pán zi,HSK3,1
胖,fat,pàng,HSK3,1
啤酒,beer,pí jiǔ,HSK3,1
葡萄,grape,pú tao,HSK3,1
普通话,Mandarin (common language),pǔ tōng huà,HSK3,1
骑,to ride (an animal or bike),qí,HSK3,1
其实,actually,qí shí,HSK3,1
其他,other,qí tā,HSK3,1
奇怪,strange,qí guài,HSK3,1
铅笔,(lead) pencil,qiān bǐ,HSK3,1
清楚,clear,qīng chu,HSK3,1
秋,a swing,qiū,HSK3,1
裙子,skirt,qún zi,HSK3,1
然后,after,rán hòu,HSK3,1
热情,cordial,rè qíng,HSK3,1
认为,to believe,rèn wéi,HSK3,1
认真,conscientious,rèn zhēn,HSK3,1
容易,easy,róng yì,HSK3,1
如果,if,rú guǒ,HSK3,1
伞,umbrella,sǎn,HSK3,1
上网,to be on the internet,shàng wǎng,HSK3,1
生气,angry,shēng qì,HSK3,1
声音,voice,shēng yīn,HSK3,1
使,to make,shǐ,HSK3,1
世界,world,shì jiè,HSK3,1
瘦,thin,shòu,HSK3,1
舒服,comfortable,shū fu,HSK3,1
叔叔,father's younger brother,shū shu,HSK3,1
树,tree,shù,HSK3,1
数学,mathematics,shù xué,HSK3,1
刷,to brush,shuā,HSK3,1
双,two,shuāng,HSK3,1
水平,level (of achievement etc),shuǐ píng,HSK3,1
司机,chauffeur,sī jī,HSK3,1
虽然,although,suī rán,HSK3,1
太阳,sun,tài yáng,HSK3,1
糖,sugar,táng,HSK3,1
特别,especially,tè bié,HSK3,1
疼,(it) hurts,téng,HSK3,1
提高,to raise,tí gāo,HSK3,1
体育,sports,tǐ yù,HSK3,1
甜,sweet,tián,HSK3,1
条,strip,tiáo,HSK3,1
同事,colleague,tóng shì,HSK3,1
同意,to agree,tóng yì,HSK3,1
头发,hair (on the head),tóu fa,HSK3,1
突然,sudden,tū rán,HSK3,1
图书馆,library,tú shū guǎn,HSK3,1
腿,leg,tuǐ,HSK3,1
完成,to complete,wán chéng,HSK3,1
碗,bowl,wǎn,HSK3,1
万,ten thousand,wàn,HSK3,1
忘记,to forget,wàng jì,HSK3,1
为了,in order to,wèi le,HSK3,1
为什么,why?,wèi shén me,HSK3,1
位,position,wèi,HSK3,1
文化,culture,wén huà,HSK3,1
西,west,xī,HSK3,1
习惯,habit,xí guàn,HSK3,1
洗手间,toilet,xǐ shǒu jiān,HSK3,1
洗澡,to bathe,xǐ zǎo,HSK3,1
夏,summer,xià,HSK3,1
先,early,xiān,HSK3,1
香蕉,banana,xiāng jiāo,HSK3,1
相同,identical,xiāng tóng,HSK3,1
相信,to be convinced (that sth is true),xiāng xìn,HSK3,1
像,to resemble,xiàng,HSK3,1
小心,to be careful,xiǎo xīn,HSK3,1
校长,(college,xiào zhǎng,HSK3,1
鞋,shoe,xié,HSK3,1
新闻,news,xīn wén,HSK3,1
新鲜,fresh (experience,xīn xiān,HSK3,1
信,letter,xìn,HSK3,1
行李箱,suitcase,xíng li xiāng,HSK3,1
兴趣,interest (desire to know about sth),xìng qù,HSK3,1
熊猫,panda,xióng māo,HSK3,1
需要,to need,xū yào,HSK3,1
选择,to select,xuǎn zé,HSK3,1
眼镜,spectacles,yǎn jìng,HSK3,1
要求,to request,yāo qiú,HSK3,1
爷爷,(informal) father's father,yé ye,HSK3,1
一定,surely,yī dìng,HSK3,1
一共,altogether,yī gòng,HSK3,1
一会儿,a while,yī huì r,HSK3,1
一样,same,yī yàng,HSK3,1
以后,after,yǐ hòu,HSK3,1
以前,before,yǐ qián,HSK3,1
以为,to believe,yǐ wéi,HSK3,1
一般,same,yī bān,HSK3,1
一边,one side,yī biān,HSK3,1
一直,straight (in a straight line),yī zhí,HSK3,1
音乐,music,yīn yuè,HSK3,1
银行,bank,yín háng,HSK3,1
应该,ought to,yīng gāi,HSK3,1
影响,an influence,yǐng xiǎng,HSK3,1
用,to use,yòng,HSK3,1
游戏,game,yóu xì,HSK3,1
有名,famous,yǒu míng,HSK3,1
又,(once) again,yòu,HSK3,1
遇到,to meet,yù dào,HSK3,1
愿意,to wish,yuàn yì,HSK3,1
越,to exceed,yuè,HSK3,1
月亮,moon,yuè liang,HSK3,1
云,cloud,yún,HSK3,1
站,station,zhàn,HSK3,1
着急,to worry,zháo jí,HSK3,1
照顾,to take care of,zhào gu,HSK3,1
照片,photograph,zhào piàn,HSK3,1
照相机,camera,zhào xiàng jī,HSK3,1
只,classifier for birds and certain animals,zhī,HSK3,1
只,but,zhǐ,HSK3,1
终于,at last,zhōng yú,HSK3,1
中间,between,zhōng jiān,HSK3,1
种,abbr. for 物種|物种,zhǒng,HSK3,1
重要,important,zhòng yào,HSK3,1
周末,weekend,zhōu mò,HSK3,1
主要,main,zhǔ yào,HSK3,1
祝,to wish,zhù,HSK3,1
注意,to take note of,zhù yì,HSK3,1
字典,dictionary,zì diǎn,HSK3,1
自己,oneself,zì jǐ,HSK3,1
总是,always,zǒng shì,HSK3,1
最近,recent,zuì jìn,HSK3,1
作业,school assignment,zuò yè,HSK3,1
作用,to act on,zuò yòng,HSK3,1